# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
ptg000002l	cds	1769085	1769276	+	IIKNCJ_09030	ylaF	YlaF family protein	RefSeq:WP_000810620.1, SO:0001217, UniParc:UPI0000054B40, UniRef:UniRef100_W8TML1, UniRef:UniRef50_A0A0K0ZW15, UniRef:UniRef90_A0A090LQ66
ptg000002l	cds	1769430	1770257	-	IIKNCJ_09035	suhB	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family	COG:COG0483, COG:G, RefSeq:WP_001240311.1, SO:0001217, UniParc:UPI00004B5BA1, UniRef:UniRef100_A0A133Q4H9, UniRef:UniRef50_A0A143PAN4, UniRef:UniRef90_A0A0U1MJW7
ptg000002l	cds	1770414	1771028	+	IIKNCJ_09040	yktB	UPF0637 protein MW0989	COG:COG4493, COG:S, RefSeq:WP_000170610.1, SO:0001217, UniParc:UPI0000054B42, UniRef:UniRef100_Q2FHX4, UniRef:UniRef50_Q49WN1, UniRef:UniRef90_Q99UZ6
ptg000002l	cds	1771212	1772564	+	IIKNCJ_09045	mntH	Nramp family divalent metal transporter	COG:COG1914, COG:P, GO:0005886, GO:0015293, GO:0046872, GO:0046873, RefSeq:WP_001060842.1, SO:0001217, UniParc:UPI0000054B43, UniRef:UniRef100_A6U0S3, UniRef:UniRef50_Q8CPM6, UniRef:UniRef90_Q6GHY0
ptg000002l	cds	1772646	1773065	-	IIKNCJ_09050		DUF4064 domain-containing protein	RefSeq:WP_001080462.1, SO:0001217, UniParc:UPI0000054B46, UniRef:UniRef100_A0A0E7WFT8, UniRef:UniRef50_A0A7X1VW58, UniRef:UniRef90_A0A2W2UU48
ptg000002l	cds	1773348	1774367	-	IIKNCJ_09055		DUF4064 domain-containing protein	RefSeq:WP_000145499.1, SO:0001217, UniParc:UPI00000522D5, UniRef:UniRef100_W8TML7, UniRef:UniRef50_Q49WM8, UniRef:UniRef90_A0A0E0VPM3
ptg000002l	cds	1774441	1775514	-	IIKNCJ_09060	potD	Spermidine/putrescine-binding periplasmic protein	COG:COG0687, COG:E, RefSeq:WP_000819690.1, SO:0001217, UniParc:UPI0000054B47, UniRef:UniRef100_X5E203, UniRef:UniRef50_A0A7L6A1N6, UniRef:UniRef90_A0A6B5SYC0
ptg000002l	cds	1775514	1776323	-	IIKNCJ_09065	potC	ABC-type spermidine/putrescine transport system, permease component II	COG:COG1177, COG:E, RefSeq:WP_000872390.1, SO:0001217, UniParc:UPI00000D7872, UniRef:UniRef100_A0A133Q4H6, UniRef:UniRef50_A0A224X4H8, UniRef:UniRef90_A0A2K4AL30
ptg000002l	cds	1776329	1777126	-	IIKNCJ_09070	potB	ABC-type spermidine/putrescine transport system, permease component I	COG:COG1176, COG:E, RefSeq:WP_001246561.1, SO:0001217, UniParc:UPI0000054B49, UniRef:UniRef100_A0A0D6GKM6, UniRef:UniRef50_A0A387BP51, UniRef:UniRef90_A0A0D6GKM6
ptg000002l	cds	1777119	1778213	-	IIKNCJ_09075	potA	Spermidine/putrescine import ATP-binding protein PotA	COG:COG3842, COG:E, EC:7.6.2.11, GO:0005524, GO:0015417, GO:0043190, RefSeq:WP_000433551.1, SO:0001217, UniParc:UPI00000D7714, UniRef:UniRef100_Q2FHY1, UniRef:UniRef50_Q8Y8T6, UniRef:UniRef90_Q2FHY1
ptg000002l	cds	1778226	1778765	-	IIKNCJ_09080	qdoI	Cupin domain protein related to quercetin dioxygenase	COG:COG1917, COG:R, RefSeq:WP_001020625.1, SO:0001217, UniParc:UPI0000054B4B, UniRef:UniRef100_W8TMM2, UniRef:UniRef50_W8TMM2, UniRef:UniRef90_W8TMM2
ptg000002l	cds	1778909	1779184	-	IIKNCJ_09085	yktA	UPF0223 protein MW0980	COG:COG4476, COG:S, RefSeq:WP_000455597.1, SO:0001217, UniParc:UPI000000978F, UniRef:UniRef100_Q6GAB7, UniRef:UniRef50_Q4L5B1, UniRef:UniRef90_Q6GHY8
ptg000002l	cds	1779352	1780758	-	IIKNCJ_09090	lpdA	dihydrolipoyl dehydrogenase	COG:C, COG:COG1249, EC:1.8.1.4, GO:0004148, GO:0005737, GO:0006096, GO:0016020, GO:0045454, GO:0050660, KEGG:K00382, RefSeq:WP_000260118.1, SO:0001217, UniParc:UPI0000696C0E, UniRef:UniRef100_A0A5A8VFS2, UniRef:UniRef50_Q5HGY8, UniRef:UniRef90_Q5HGY8
ptg000002l	cds	1780762	1782054	-	IIKNCJ_09095	pdhC	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	COG:C, COG:COG0508, EC:2.3.1.12, GO:0004742, GO:0006096, RefSeq:WP_000863440.1, SO:0001217, UniParc:UPI00000D9D74, UniRef:UniRef100_Q5HGY9, UniRef:UniRef50_P21883, UniRef:UniRef90_P65635
ptg000002l	cds	1782145	1783122	-	IIKNCJ_09100	pdhB	Pyruvate dehydrogenase E1 component subunit beta	COG:C, COG:COG0022, EC:1.2.4.1, GO:0004739, GO:0006096, RefSeq:WP_000068176.1, SO:0001217, UniParc:UPI0000054B50, UniRef:UniRef100_P0A0A1, UniRef:UniRef50_P21882, UniRef:UniRef90_Q5HQ75
ptg000002l	cds	1783126	1784238	-	IIKNCJ_09105	pdhA	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	COG:C, COG:COG1071, EC:1.2.4.1, GO:0004739, GO:0006096, RefSeq:WP_000035320.1, SO:0001217, UniParc:UPI000000978E, UniRef:UniRef100_Q5HGZ1, UniRef:UniRef50_P21881, UniRef:UniRef90_Q5HGZ1
ptg000002l	cds	1784409	1785035	-	IIKNCJ_09110		Cell-wall binding lipoprotein	RefSeq:WP_000668339.1, SO:0001217, UniParc:UPI00000D9D73, UniRef:UniRef100_A0A133Q4F9, UniRef:UniRef50_A0A0M2NPP4, UniRef:UniRef90_A0A6B1RK17
ptg000002l	cds	1785400	1785951	+	IIKNCJ_09115	def	peptide deformylase	COG:COG0242, COG:J, EC:3.5.1.88, GO:0006412, GO:0042586, GO:0046872, RefSeq:WP_000957036.1, SO:0001217, UniParc:UPI00000D9D72, UniRef:UniRef100_Q5HGZ3, UniRef:UniRef50_Q45495, UniRef:UniRef90_Q5HGZ3
ptg000002l	cds	1786432	1786650	+	IIKNCJ_09120	rpoY	DNA-directed RNA polymerase subunit epsilon	COG:COG5503, COG:KV, EC:2.7.7.6, GO:0000428, GO:0003677, GO:0003899, GO:0006351, RefSeq:WP_000257888.1, SO:0001217, UniParc:UPI0000054B54, UniRef:UniRef100_A6U0Q8, UniRef:UniRef50_Q9K9I6, UniRef:UniRef90_A6U0Q8
ptg000002l	cds	1786650	1788347	+	IIKNCJ_09125	rnj1	Ribonuclease J 1	COG:COG0595, COG:J, EC:3.1.-.-, GO:0003723, GO:0004521, GO:0004534, GO:0005737, GO:0006364, GO:0008270, RefSeq:WP_000811375.1, SO:0001217, UniParc:UPI0000054B55, UniRef:UniRef100_Q2FHZ1, UniRef:UniRef50_Q45493, UniRef:UniRef90_Q5HQ80
ptg000002l	ncRNA	1788438	1788705	-	IIKNCJ_09130	S35	Staphylococcus sRNA 35 (srn_0335)	RFAM:RF02894, SO:0000655
ptg000002l	cds	1788696	1789358	-	IIKNCJ_09135	trkA	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain	COG:COG0569, COG:PT, RefSeq:WP_000514290.1, SO:0001217, UniParc:UPI0000054B56, UniRef:UniRef100_W8TMN2, UniRef:UniRef50_W8TMN2, UniRef:UniRef90_W8TMN2
ptg000002l	cds	1789491	1790510	-	IIKNCJ_09140	appB	Cytochrome bd-type quinol oxidase, subunit 2	COG:C, COG:COG1294, RefSeq:WP_000638456.1, SO:0001217, UniParc:UPI0000054B57, UniRef:UniRef100_A0A0D6GIH1, UniRef:UniRef50_I0JLX8, UniRef:UniRef90_A0A0D6GIH1
ptg000002l	cds	1790507	1791868	-	IIKNCJ_09145	appC	Cytochrome bd-type quinol oxidase, subunit 1	COG:C, COG:COG1271, RefSeq:WP_000381849.1, SO:0001217, UniParc:UPI0000054B5A, UniRef:UniRef100_W8URP2, UniRef:UniRef50_W8URP2, UniRef:UniRef90_W8URP2
ptg000002l	cds	1792066	1792299	+	IIKNCJ_09150	nrdH	glutaredoxin-like protein NrdH	BlastRules:WP_001289614, COG:COG0695, COG:O, RefSeq:WP_001289614.1, SO:0001217, UniParc:UPI0000054B5B, UniRef:UniRef100_Q936D1, UniRef:UniRef50_G5JM52, UniRef:UniRef90_Q936D1
ptg000002l	cds	1792536	1794254	-	IIKNCJ_09155	ptsI	Phosphoenolpyruvate-protein phosphotransferase	COG:COG1080, COG:G, EC:2.7.3.9, GO:0005737, GO:0008965, GO:0009401, GO:0016301, GO:0016310, GO:0046872, RefSeq:WP_000040054.1, SO:0001217, UniParc:UPI0000054B5C, UniRef:UniRef100_Q5HH01, UniRef:UniRef50_Q9ZAD8, UniRef:UniRef90_Q931U2
ptg000002l	cds	1794257	1794523	-	IIKNCJ_09160	ptsH	phosphocarrier protein HPr	COG:COG1925, COG:TG, GO:0005737, GO:0009401, RefSeq:WP_000437472.1, SO:0001217, UniParc:UPI00001328F8, UniRef:UniRef100_Q5HH02, UniRef:UniRef50_P23534, UniRef:UniRef90_Q5HH02
ptg000002l	cds	1794677	1795219	-	IIKNCJ_09165		DUF697 domain-containing protein	RefSeq:WP_000505965.1, SO:0001217, UniParc:UPI0000047404, UniRef:UniRef100_A0A0E8G771, UniRef:UniRef50_A0A7U9ALS7, UniRef:UniRef90_A0A7U7JTU6
ptg000002l	cds	1795273	1796445	-	IIKNCJ_09170		Class I SAM-dependent rRNA methyltransferase	RefSeq:WP_000685079.1, SO:0001217, UniParc:UPI0000054B5E, UniRef:UniRef100_A0A0D6HTX7, UniRef:UniRef50_A0A0H2VH93, UniRef:UniRef90_A0A0H3JTS6
ptg000002l	cds	1796870	1798165	-	IIKNCJ_09175		Membrane spanning protein	RefSeq:WP_000009063.1, SO:0001217, UniParc:UPI0000696C0D, UniRef:UniRef100_A0A5P6T329, UniRef:UniRef50_A0A3G4QY45, UniRef:UniRef90_G5JHE8
ptg000002l	ncRNA	1797285	1797412	+	IIKNCJ_09180	sau-59	Staphylococcus sRNA sau-59	RFAM:RF02393, SO:0000655
ptg000002l	cds	1798317	1798451	+	IIKNCJ_09185	graF	glycopeptide resistance-associated protein GraF	RefSeq:WP_000064214.1, SO:0001217, UniParc:UPI0000054B60, UniRef:UniRef100_Q33C60, UniRef:UniRef50_A0A7U7JU34, UniRef:UniRef90_A0A7U7JU34
ptg000002l	ncRNA-region	1798858	1798958	+			TPP riboswitch (THI element)	RFAM:RF00059, SO:0000035
ptg000002l	cds	1799035	1799610	+	IIKNCJ_09190	ykoE	ABC-type thiamine/hydroxymethylpyrimidine transport system, permease component	COG:COG4721, COG:H, RefSeq:WP_000033477.1, SO:0001217, UniParc:UPI0000054B61, UniRef:UniRef100_W8TZZ9, UniRef:UniRef50_Q49WK1, UniRef:UniRef90_W8TZZ9
ptg000002l	cds	1799625	1801025	+	IIKNCJ_09195	ccmA	heme ABC exporter ATP-binding protein CcmA	COG:COG1123, COG:O, RefSeq:WP_000921968.1, SO:0001217, UniParc:UPI00004B5B9F, UniRef:UniRef100_A0A0D6HTM5, UniRef:UniRef50_A0A0D6HTM5, UniRef:UniRef90_A0A0D6HTM5
ptg000002l	cds	1801018	1801824	+	IIKNCJ_09200	ecfT	ECF-type transporter transmembrane protein EcfT	COG:COG0619, COG:H, RefSeq:WP_000273253.1, SO:0001217, UniParc:UPI00000CA9C8, UniRef:UniRef100_A0A7U9J6M6, UniRef:UniRef50_A0A0H2VFQ7, UniRef:UniRef90_A0A7U7EYE3
ptg000002l	cds	1802089	1803336	-	IIKNCJ_09205	purD	Phosphoribosylamine--glycine ligase	COG:COG0151, COG:F, EC:6.3.4.13, GO:0004637, GO:0005524, GO:0006189, GO:0009113, GO:0046872, RefSeq:WP_001101908.1, SO:0001217, UniParc:UPI0000054B64, UniRef:UniRef100_A0A0D6HVU1, UniRef:UniRef50_P65895, UniRef:UniRef90_P65895
ptg000002l	cds	1803358	1804836	-	IIKNCJ_09210	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	COG:COG0138, COG:F, GO:0003937, GO:0004643, GO:0006189, RefSeq:WP_000709291.1, SO:0001217, UniParc:UPI0000696C0C, UniRef:UniRef100_Q2FI05, UniRef:UniRef50_B5YLE5, UniRef:UniRef90_Q2FZI6
ptg000002l	cds	1804851	1805417	-	IIKNCJ_09215	purN	phosphoribosylglycinamide formyltransferase	COG:COG0299, COG:F, EC:2.1.2.2, GO:0004644, GO:0006189, RefSeq:WP_000238664.1, SO:0001217, UniParc:UPI0000054B66, UniRef:UniRef100_Q5HH12, UniRef:UniRef50_Q5HQ98, UniRef:UniRef90_P65897
ptg000002l	cds	1805420	1806448	-	IIKNCJ_09220	purM	Phosphoribosylformylglycinamidine cyclo-ligase	COG:COG0150, COG:F, EC:6.3.3.1, GO:0004641, GO:0005524, GO:0005737, GO:0006189, RefSeq:WP_000030812.1, SO:0001217, UniParc:UPI0000054B67, UniRef:UniRef100_Q2FI07, UniRef:UniRef50_P12043, UniRef:UniRef90_Q6GI13
ptg000002l	cds	1806441	1807925	-	IIKNCJ_09225	purF	amidophosphoribosyltransferase	COG:COG0034, COG:F, EC:2.4.2.14, GO:0000287, GO:0004044, GO:0006189, GO:0006541, GO:0009113, KEGG:K00764, RefSeq:WP_000483713.1, SO:0001217, UniParc:UPI00000D9D67, UniRef:UniRef100_Q5HH14, UniRef:UniRef50_Q5HQA0, UniRef:UniRef90_Q5HQA0
ptg000002l	cds	1807904	1810093	-	IIKNCJ_09230	purL	phosphoribosylformylglycinamidine synthase subunit PurL	COG:COG0046, COG:F, EC:6.3.5.3, GO:0000287, GO:0004642, GO:0005524, GO:0005737, GO:0006189, RefSeq:WP_000032727.1, SO:0001217, UniParc:UPI0000054B69, UniRef:UniRef100_Q2FI09, UniRef:UniRef50_Q9CFE8, UniRef:UniRef90_Q2FI09
ptg000002l	cds	1810086	1810757	-	IIKNCJ_09235	purQ	phosphoribosylformylglycinamidine synthase I	COG:COG0047, COG:F, EC:6.3.5.3, GO:0004359, GO:0004642, GO:0005524, GO:0005737, GO:0006189, GO:0006541, RefSeq:WP_000666799.1, SO:0001217, UniParc:UPI0000132B64, UniRef:UniRef100_Q2FI10, UniRef:UniRef50_Q9RXT3, UniRef:UniRef90_P65904
ptg000002l	cds	1810759	1811022	-	IIKNCJ_09240	purS	phosphoribosylformylglycinamidine synthase subunit PurS	COG:COG1828, COG:F, RefSeq:WP_000848350.1, SO:0001217, UniParc:UPI0000054B6B, UniRef:UniRef100_W8U006, UniRef:UniRef50_A0A0K0ZVU6, UniRef:UniRef90_W8U006
ptg000002l	cds	1811022	1811726	-	IIKNCJ_09245	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	COG:COG0152, COG:F, EC:6.3.2.6, GO:0004639, GO:0005524, GO:0006189, GO:0009236, RefSeq:WP_000174053.1, SO:0001217, UniParc:UPI0000054B6D, UniRef:UniRef100_A7X0V7, UniRef:UniRef50_A9VRE8, UniRef:UniRef90_Q6GI18
ptg000002l	cds	1811730	1812854	-	IIKNCJ_09250	purK	5-(carboxyamino)imidazole ribonucleotide synthase	COG:COG0026, COG:F, EC:6.3.4.18, GO:0004638, GO:0005524, GO:0006189, GO:0034028, GO:0046872, GO:0051287, RefSeq:WP_001010412.1, SO:0001217, UniParc:UPI0000054B6E, UniRef:UniRef100_Q5HH19, UniRef:UniRef50_Q4L574, UniRef:UniRef90_Q99V32
ptg000002l	cds	1812841	1813323	-	IIKNCJ_09255	purE	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	COG:COG0041, COG:F, RefSeq:WP_000861572.1, SO:0001217, UniParc:UPI00000D7728, UniRef:UniRef100_W8URR1, UniRef:UniRef50_A0A2V6Q3Z1, UniRef:UniRef90_A0A0E0VPI5
ptg000002l	cds	1813524	1814384	+	IIKNCJ_09260	folD	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	COG:COG0190, COG:H, GO:0000105, GO:0004477, GO:0004488, GO:0006164, GO:0009086, GO:0035999, RefSeq:WP_000225837.1, SO:0001217, UniParc:UPI00000D9D65, UniRef:UniRef100_Q2FI15, UniRef:UniRef50_Q7VVW3, UniRef:UniRef90_Q2FI15
ptg000002l	cds	1815189	1815506	+	IIKNCJ_09265		Bacterial Ig-like domain protein	RefSeq:WP_001037831.1, SO:0001217, UniParc:UPI0000054B71, UniRef:UniRef100_Q7DI43, UniRef:UniRef50_A0A0K0ZW58, UniRef:UniRef90_Q7DI43
ptg000002l	cds	1816078	1817178	+	IIKNCJ_09270	qoxA	cytochrome aa3 quinol oxidase subunit II	COG:C, COG:COG1622, EC:1.10.3.-, GO:0004129, GO:0005507, GO:0005886, GO:0009486, GO:0016682, GO:0070469, KEGG:K02826, RefSeq:WP_000032836.1, SO:0001217, UniParc:UPI00000D7857, UniRef:UniRef100_Q2FI17, UniRef:UniRef50_Q49WI4, UniRef:UniRef90_Q2FI17
ptg000002l	cds	1817178	1819166	+	IIKNCJ_09275	qoxB	cytochrome aa3 quinol oxidase subunit I	COG:C, COG:COG0843, EC:1.10.3.-, GO:0004129, GO:0005507, GO:0005886, GO:0006119, GO:0016682, GO:0020037, GO:0070469, RefSeq:WP_001010762.1, SO:0001217, UniParc:UPI0000054B74, UniRef:UniRef100_Q2FI18, UniRef:UniRef50_E0TW66, UniRef:UniRef90_Q5HQB0
ptg000002l	cds	1819156	1819761	+	IIKNCJ_09280	qoxC	cytochrome aa3 quinol oxidase subunit III	COG:C, COG:COG1845, EC:1.10.3.-, GO:0004129, GO:0005886, GO:0009055, GO:0009060, GO:0009319, GO:0009486, GO:0015453, GO:0015990, GO:0019646, GO:0042773, RefSeq:WP_000017736.1, SO:0001217, UniParc:UPI0000054B75, UniRef:UniRef100_Q2FI19, UniRef:UniRef50_P34958, UniRef:UniRef90_Q5HQB1
ptg000002l	cds	1819758	1820048	+	IIKNCJ_09285	qoxD	cytochrome aa3 quinol oxidase subunit IV	COG:C, COG:COG3125, EC:1.10.3.-, GO:0005886, GO:0016682, GO:0042773, SO:0001217, UniParc:UPI0000054B76, UniRef:UniRef100_Q2FI20, UniRef:UniRef50_Q2FI20, UniRef:UniRef90_Q2FI20
ptg000002l	cds	1820585	1821778	-	IIKNCJ_09290	fmtA	teichoic acid D-Ala esterase FmtA	BlastRules:WP_000671243, COG:COG1680, COG:V, EC:3.1.1.103, GO:0005886, GO:0016787, GO:0046677, GO:0071555, RefSeq:WP_000671243.1, SO:0001217, UniParc:UPI0000054B77, UniRef:UniRef100_Q2FZK3, UniRef:UniRef50_Q2FZK3, UniRef:UniRef90_Q2FZK3
ptg000002l	cds	1822229	1823446	+	IIKNCJ_09295	cps2a	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase	BlastRules:WP_001031978, COG:COG1316, COG:M, RefSeq:WP_001031975.1, SO:0001217, UniParc:UPI0000054B78, UniRef:UniRef100_P52078, UniRef:UniRef50_P52078, UniRef:UniRef90_P52078
ptg000002l	cds	1823494	1823964	+	IIKNCJ_09300		osmotic stress response protein	BlastRules:WP_000088431, RefSeq:WP_000088431.1, SO:0001217, UniParc:UPI0000054B79, UniRef:UniRef100_P0A0Q1, UniRef:UniRef50_P0A0Q1, UniRef:UniRef90_P0A0Q1
ptg000002l	cds	1824119	1824553	+	IIKNCJ_09305	elaA	Putative acetyltransferase MW0937	COG:COG2153, COG:R, EC:2.3.1.-, GO:0004343, GO:0006048, GO:0016747, RefSeq:WP_000491986.1, SO:0001217, UniParc:UPI0000139F7C, UniRef:UniRef100_Q5HH30, UniRef:UniRef50_Q5HH30, UniRef:UniRef90_Q5HH30
ptg000002l	cds	1824781	1828551	+	IIKNCJ_09310	atl	Bifunctional autolysin	GO:0004040, GO:0005576, GO:0008745, GO:0009253, GO:0033925, GO:0071555, RefSeq:WP_001074556.1, SO:0001217, UniParc:UPI0000696C0A, UniRef:UniRef100_A0A133PXB4, UniRef:UniRef50_O33635, UniRef:UniRef90_A7X0T9
ptg000002l	cds	1828758	1829177	-	IIKNCJ_09315	marR	DNA-binding transcriptional regulator, MarR family	COG:COG1846, COG:K, RefSeq:WP_000278010.1, SO:0001217, UniParc:UPI0000696C09, UniRef:UniRef100_A0A0E8G970, UniRef:UniRef50_A0A192F2Q1, UniRef:UniRef90_A0A2K4AL25
ptg000002l	cds	1829330	1830340	+	IIKNCJ_09320	nolL	Fucose 4-O-acetylase or related acetyltransferase	COG:COG3594, COG:G, RefSeq:WP_000202439.1, SO:0001217, UniParc:UPI0000054B7E, UniRef:UniRef100_A0A0D6GJ16, UniRef:UniRef50_Q49WH1, UniRef:UniRef90_A0A0H3JUR5
ptg000002l	cds	1830536	1831690	+	IIKNCJ_09325	aspB	Aspartate/methionine/tyrosine aminotransferase	COG:COG0436, COG:E, RefSeq:WP_000777581.1, SO:0001217, UniParc:UPI00004B5B9B, UniRef:UniRef100_A0A0D6HV28, UniRef:UniRef50_A0A0D6HV28, UniRef:UniRef90_A0A0D6HV28
ptg000002l	cds	1832218	1833228	+	IIKNCJ_09330	sspA	Glu-specific serine endopeptidase SspA	BlastRules:WP_000676549, EC:3.4.21.19, GO:0004252, GO:0005576, GO:0006508, RefSeq:WP_000676548.1, SO:0001217, UniParc:UPI0000054A40, UniRef:UniRef100_Q2FZL2, UniRef:UniRef50_Q2FZL2, UniRef:UniRef90_Q2FZL2
ptg000002l	cds	1833310	1834491	+	IIKNCJ_09335	sspB	cysteine protease staphopain B	BlastRules:WP_001088780, EC:3.4.22.-, GO:0005576, GO:0006508, GO:0008234, RefSeq:WP_001088780.1, SO:0001217, UniParc:UPI0000054A35, UniRef:UniRef100_Q2FZL3, UniRef:UniRef50_Q2FZL3, UniRef:UniRef90_Q2FZL3
ptg000002l	cds	1834529	1834858	+	IIKNCJ_09340	sspC	staphostatin B	BlastRules:WP_000284457, GO:0004869, GO:0005737, RefSeq:WP_000284457.1, SO:0001217, UniParc:UPI0000054A2B, UniRef:UniRef100_Q9EYW6, UniRef:UniRef50_Q9EYW6, UniRef:UniRef90_Q9EYW6
ptg000002l	cds	1835097	1835918	-	IIKNCJ_09345	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase	COG:COG0447, COG:H, EC:4.1.3.36, GO:0008935, GO:0009234, KEGG:K01661, RefSeq:WP_000184947.1, SO:0001217, UniParc:UPI0000054A17, UniRef:UniRef100_Q5HH38, UniRef:UniRef50_P23966, UniRef:UniRef90_Q5HH38
ptg000002l	cds	1835911	1836714	-	IIKNCJ_09350	menH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	COG:COG0596, COG:HR, EC:4.2.99.20, KEGG:K08680, RefSeq:WP_000150195.1, SO:0001217, UniParc:UPI0000054A0D, UniRef:UniRef100_A0A0D6HU51, UniRef:UniRef50_A0A7Z7VXN1, UniRef:UniRef90_A0A0D6HU51
ptg000002l	cds	1836701	1838374	-	IIKNCJ_09355	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	COG:COG1165, COG:H, EC:2.2.1.9, GO:0000287, GO:0009234, GO:0030145, GO:0030976, GO:0070204, RefSeq:WP_000526687.1, SO:0001217, UniParc:UPI0000054A02, UniRef:UniRef100_Q2FI34, UniRef:UniRef50_Q8CPQ5, UniRef:UniRef90_Q6GI39
ptg000002l	cds	1838361	1839722	-	IIKNCJ_09360	menF	Isochorismate synthase EntC	COG:COG1169, COG:HQ, SO:0001217, UniParc:UPI0001D0CA69, UniRef:UniRef100_A0A1S6C6R7, UniRef:UniRef50_A0A364UPP3, UniRef:UniRef90_A0A380DQI8
ptg000002l	cds	1839904	1840842	+	IIKNCJ_09365	menA	1,4-dihydroxy-2-naphthoate polyprenyltransferase	COG:COG1575, COG:H, RefSeq:WP_000070966.1, SO:0001217, UniParc:UPI00000D77C6, UniRef:UniRef100_A0A0E0VMQ0, UniRef:UniRef50_A0A7Z7VXM7, UniRef:UniRef90_A0A0E0VMQ0
ptg000002l	cds	1840894	1841445	-	IIKNCJ_09370	rimI	Ribosomal protein S18 acetylase RimI and related acetyltransferases	COG:COG0456, COG:J, RefSeq:WP_000620953.1, SO:0001217, UniParc:UPI000069AA8D, UniRef:UniRef100_A0A0D6HV97, UniRef:UniRef50_A0A8D9YSX9, UniRef:UniRef90_A0A8D9YSX9
ptg000002l	cds	1841610	1841825	+	IIKNCJ_09375	tM2	Uncharacterized membrane protein YozV, TM2 domain, contains pTyr	COG:COG2314, COG:R, RefSeq:WP_000867357.1, SO:0001217, UniParc:UPI00000D783B, UniRef:UniRef100_A0A133PXB2, UniRef:UniRef50_A0A2K4AKW9, UniRef:UniRef90_A0A133PXB2
ptg000002l	cds	1841904	1842020	+	IIKNCJ_09380		SAR1012 family small protein	RefSeq:WP_001248716.1, SO:0001217, UniParc:UPI000169A1D9, UniRef:UniRef100_A0A2G4VI10, UniRef:UniRef50_A0A229LY78, UniRef:UniRef90_A0A229LY78
ptg000002l	cds	1842066	1843025	-	IIKNCJ_09385	fecB	ABC-type Fe3+-citrate transport system, periplasmic component	COG:COG4594, COG:P, RefSeq:WP_001081351.1, SO:0001217, UniParc:UPI00000522D4, UniRef:UniRef100_W8URT6, UniRef:UniRef50_W8URT6, UniRef:UniRef90_W8URT6
ptg000002l	cds	1843502	1843858	+	IIKNCJ_09390	doxX	Uncharacterized membrane protein YphA, DoxX/SURF4 family	COG:COG2259, COG:S, RefSeq:WP_000766009.1, SO:0001217, UniParc:UPI00000D77EC, UniRef:UniRef100_A0A133PXF3, UniRef:UniRef50_A0A0M2NUN7, UniRef:UniRef90_A0A0A8HS32
ptg000002l	cds	1843947	1845428	-	IIKNCJ_09395	tarM	Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase	EC:2.4.1.70, GO:0005737, GO:0019350, GO:0047269, GO:0071555, RefSeq:WP_000719184.1, SO:0001217, UniParc:UPI00004B5B95, UniRef:UniRef100_A0A0H2WWV6, UniRef:UniRef50_A0A0H2WWV6, UniRef:UniRef90_A0A0H2WWV6
ptg000002l	cds	1845434	1845721	-	IIKNCJ_09400		Phage protein	RefSeq:WP_000410720.1, SO:0001217, UniParc:UPI00000542A3, UniRef:UniRef100_A0A0D3Q617, UniRef:UniRef50_A0A0D3Q617, UniRef:UniRef90_A0A0D3Q617
ptg000002l	cds	1846045	1846290	+	IIKNCJ_09405		Inner membrane protein	RefSeq:WP_000198957.1, SO:0001217, UniParc:UPI00000D76BD, UniRef:UniRef100_W8U039, UniRef:UniRef50_A0A2G4VHZ1, UniRef:UniRef90_A0A2G4VHZ1
ptg000002l	cds	1846378	1847019	-	IIKNCJ_09410	lolD	ABC-type lipoprotein export system, ATPase component	COG:COG1136, COG:M, RefSeq:WP_000571178.1, SO:0001217, UniParc:UPI000005436D, UniRef:UniRef100_A0A0D6GHV4, UniRef:UniRef50_A0A0D6GHV4, UniRef:UniRef90_A0A0D6GHV4
ptg000002l	cds	1847016	1847336	-	IIKNCJ_09415	yxeA	DUF1093 domain-containing protein	COG:COG5294, COG:S, RefSeq:WP_000668623.1, SO:0001217, UniParc:UPI00000543D0, UniRef:UniRef100_A0A0H3KFJ6, UniRef:UniRef50_G5JID0, UniRef:UniRef90_A0A0H3KFJ6
